identifier,target
4100000,1
4100001,1
4100002,0
4100003,0
4100004,0
4100005,1
4100006,0
4100007,1
4100008,1
4100009,1
4100010,0
4100011,0
4100012,0
4100013,1
4100014,0
4100015,0
4100016,1
4100017,0
4100018,0
4100019,1
4100020,0
4100021,1
4100022,1
4100023,0
4100024,0
4100025,1
4100026,1
4100027,1
4100028,1
4100029,1
4100030,1
4100031,1
4100032,0
4100033,0
4100034,1
4100035,1
4100036,1
4100037,0
4100038,1
4100039,1
4100040,1
4100041,0
4100042,0
4100043,1
4100044,1
4100045,0
4100046,0
4100047,0
4100048,0
4100049,0
4100050,1
4100051,0
4100052,0
4100053,0
4100054,1
4100055,1
4100056,1
4100057,1
4100058,0
4100059,0
4100060,0
4100061,0
4100062,1
4100063,0
4100064,1
4100065,0
4100066,1
4100067,0
4100068,1
4100069,0
4100070,1
4100071,1
4100072,0
4100073,0
4100074,1
4100075,1
4100076,0
4100077,1
4100078,1
4100079,1
4100080,0
4100081,1
4100082,1
4100083,1
4100084,0
4100085,0
4100086,1
4100087,1
4100088,0
4100089,0
4100090,0
4100091,0
4100092,1
4100093,1
4100094,1
4100095,0
4100096,1
4100097,0
4100098,0
4100099,1
4100100,1
4100101,1
4100102,1
4100103,1
4100104,0
4100105,0
4100106,0
4100107,1
4100108,0
4100109,0
4100110,1
4100111,0
4100112,0
4100113,0
4100114,0
4100115,0
4100116,1
4100117,0
4100118,1
4100119,1
4100120,1
4100121,1
4100122,0
4100123,1
4100124,1
4100125,0
4100126,0
4100127,1
4100128,1
4100129,1
4100130,1
4100131,1
4100132,0
4100133,1
4100134,0
4100135,1
4100136,1
4100137,0
4100138,1
4100139,1
4100140,1
4100141,1
4100142,1
4100143,0
4100144,0
4100145,1
4100146,1
4100147,0
4100148,1
4100149,1
4100150,1
4100151,1
4100152,0
4100153,1
4100154,1
4100155,0
4100156,1
4100157,1
4100158,1
4100159,1
4100160,1
4100161,1
4100162,0
4100163,1
4100164,0
4100165,0
4100166,1
4100167,0
4100168,0
4100169,1
4100170,0
4100171,0
4100172,1
4100173,1
4100174,0
4100175,0
4100176,1
4100177,1
4100178,1
4100179,1
4100180,1
4100181,0
4100182,1
4100183,1
4100184,0
4100185,1
4100186,1
4100187,1
4100188,1
4100189,0
4100190,1
4100191,1
4100192,1
4100193,1
4100194,0
4100195,0
4100196,1
4100197,0
4100198,1
4100199,1
4100200,0
4100201,1
4100202,0
4100203,0
4100204,1
4100205,1
4100206,1
4100207,0
4100208,1
4100209,0
4100210,1
4100211,0
4100212,1
4100213,1
4100214,1
4100215,0
4100216,0
4100217,0
4100218,1
4100219,1
4100220,1
4100221,1
4100222,1
4100223,1
4100224,0
4100225,1
4100226,0
4100227,0
4100228,1
4100229,0
4100230,1
4100231,0
4100232,1
4100233,1
4100234,0
4100235,1
4100236,0
4100237,0
4100238,1
4100239,1
4100240,1
4100241,0
4100242,0
4100243,0
4100244,1
4100245,0
4100246,0
4100247,1
4100248,0
4100249,1
4100250,0
4100251,0
4100252,1
4100253,1
4100254,0
4100255,0
4100256,0
4100257,1
4100258,1
4100259,0
4100260,0
4100261,1
4100262,0
4100263,1
4100264,1
4100265,0
4100266,0
4100267,1
4100268,0
4100269,0
4100270,1
4100271,0
4100272,0
4100273,1
4100274,1
4100275,0
4100276,0
4100277,0
4100278,0
4100279,1
4100280,1
4100281,0
4100282,1
4100283,1
4100284,0
4100285,0
4100286,1
4100287,0
4100288,0
4100289,1
4100290,0
4100291,0
4100292,0
4100293,1
4100294,1
4100295,0
4100296,1
4100297,1
4100298,0
4100299,0
4100300,1
4100301,1
4100302,0
4100303,1
4100304,0
4100305,1
4100306,0
4100307,0
4100308,1
4100309,1
4100310,1
4100311,1
4100312,0
4100313,1
4100314,0
4100315,1
4100316,1
4100317,1
4100318,0
4100319,1
4100320,0
4100321,0
4100322,0
4100323,1
4100324,1
4100325,0
4100326,0
4100327,0
4100328,1
4100329,1
4100330,0
4100331,1
4100332,1
4100333,0
4100334,1
4100335,0
4100336,0
4100337,1
4100338,0
4100339,0
4100340,0
4100341,0
4100342,0
4100343,0
4100344,0
4100345,1
4100346,0
4100347,1
4100348,0
4100349,1
4100350,0
4100351,0
4100352,0
4100353,1
4100354,0
4100355,0
4100356,1
4100357,1
4100358,1
4100359,1
4100360,1
4100361,0
4100362,0
4100363,1
4100364,1
4100365,0
4100366,1
4100367,1
4100368,1
4100369,0
4100370,1
4100371,0
4100372,0
4100373,1
4100374,1
4100375,1
4100376,1
4100377,0
4100378,0
4100379,0
4100380,0
4100381,0
4100382,0
4100383,0
4100384,0
4100385,0
4100386,1
4100387,0
4100388,0
4100389,1
4100390,1
4100391,0
4100392,0
4100393,1
4100394,1
4100395,0
4100396,1
4100397,1
4100398,0
4100399,0
4100400,1
4100401,1
4100402,0
4100403,0
4100404,0
4100405,0
4100406,0
4100407,0
4100408,0
4100409,1
4100410,0
4100411,1
4100412,1
4100413,1
4100414,1
4100415,0
4100416,1
4100417,1
4100418,1
4100419,1
4100420,0
4100421,1
4100422,0
4100423,1
4100424,1
4100425,0
4100426,1
4100427,0
4100428,1
4100429,1
4100430,1
4100431,0
4100432,0
4100433,1
4100434,1
4100435,1
4100436,0
4100437,0
4100438,1
4100439,1
4100440,1
4100441,1
4100442,1
4100443,1
4100444,1
4100445,1
4100446,1
4100447,0
4100448,0
4100449,1
4100450,0
4100451,0
4100452,0
4100453,1
4100454,0
4100455,1
4100456,1
4100457,1
4100458,1
4100459,0
4100460,0
4100461,1
4100462,0
4100463,0
4100464,0
4100465,0
4100466,1
4100467,0
4100468,1
4100469,1
4100470,0
4100471,0
4100472,1
4100473,0
4100474,0
4100475,1
4100476,1
4100477,0
4100478,1
4100479,1
4100480,1
4100481,0
4100482,0
4100483,1
4100484,0
4100485,0
4100486,0
4100487,0
4100488,0
4100489,1
4100490,1
4100491,1
4100492,1
4100493,0
4100494,1
4100495,0
4100496,0
4100497,0
4100498,0
4100499,1
4100500,0
4100501,0
4100502,1
4100503,1
4100504,1
4100505,1
4100506,1
4100507,1
